Date,Who,What,How Much,From/To,Source,Year,
1999/02,Zeek,Acquired by,USD 810k,Starmedia,http://veja.abril.com.br/especiais/Digital3/negocios.html,1999,
1999/04,Cadê,Acquired by,USD 13m,Starmedia,http://grupomm.mmonline.com.br/noticias.mm?url=StarMedia_compra_Cade_,1999,
1999/06,Booknet,Acquired by,USD 5m,GP Investimentos,http://veja.abril.com.br/especiais/Digital3/negocios.html,1999,
1999/06,ZAZ,Acquired by,USD 240m,Portugal Telecom,http://idgnow.uol.com.br/mercado/2009/10/01/compra-do-buscape-e-3a-maior-negociacao-da-internet-brasileira/,1999,
1999/06,MetaMiner,Acquired by,undisclosed,UOL,http://sobre.uol.com.br/ultnot/novidade/noticias/ult220699056.jhtm,1999,
1999/11,Nettrade,Acquired by,undisclosed,Patagon,http://www.zquality.com.br/imagens/press/canalexecutivo_noticiasa.htm,1999,
2000/02,Zipmail,Acquired by,USD 365m,Portugal Telecom,http://veja.abril.com.br/especiais/Digital3/negocios.html,2000,
2000/02,GuiaSP e GuiaRJ,Acquired by,undisclosed,Starmedia,http://www.codix.com.br/blog/starmedia-compra-os-guias-sp-e-rj.html,2000,
2000/06,Globo.com,Acquired by,USD 865m,Telecom Itália,http://info.abril.com.br/aberto/infonews/012003/29012003-14.shl,2000,
2001/07,hpG,Acquired by,undisclosed,IG,http://computerworld.uol.com.br/negocios/2001/07/31/idgnoticia.2006-05-15.6092410816/,2001,
2001/11,Lokau,Acquired by,undisclosed,Brasil Telecom,http://idgnow.uol.com.br/mercado/2001/11/29/idgnoticia.2006-05-07.9868436423/IDGNoticia_view/,2001,
2001/12,Mlab,Acquired by,USD 36m,Cemex,http://www.istoedinheiro.com.br/noticias/8603_EMPRESARIO+ZEN,2001,
2002/01,Cadê,Acquired by,undisclosed,Yahoo,http://computerworld.uol.com.br/seguranca/2002/01/08/idgnoticia.2006-05-15.4993065566/,2002,
2002/02,Webmotors,Acquired by,undisclosed,Banco Real,http://www.estadao.com.br/arquivo/tecnologia/2002/not20020219p71514.htm,2002,
2002/08,Ibest,Acquired by,BRL 50m,Brasil Telecom,http://noticias.uol.com.br/mundodigital/ultimas/ult1345u49.jhtm,2002,
2004/05,IG,Acquired by,USD 100m,Brasil Telecom,http://www.estadao.com.br/arquivo/tecnologia/2004/not20040519p57656.htm,2004,
2005/07,Akwan,Acquired by,undisclosed,Google,http://www.google.com.br/press/pressrel/akwan.html,2005,
2006/02,BondFaro,Acquired by,undisclosed,Buscapé,http://idgnow.uol.com.br/mercado/2006/05/29/idgnoticia.2006-05-29.5913109352/,2006,
2007/03 ,Via6,Raised from,USD 500k,Confrapar,http://idgnow.uol.com.br/internet/2007/03/14/idgnoticia.2007-03-14.2220324170/,2007,
2007/06 ,Zura,Raised from,undisclosed,IDNT,http://pt.wikipedia.org/wiki/Zura,2007,
